Module ID,Title,Level,Group,Has MDX,Has Objectives,Has Examples,Has Mistakes,Has Takeaways,Has Next Steps,Quizzes Count,Exercises Count,AST Rules Count,Errors Count,Warnings Count
"01-js-ts-variables","0.1: Variables & Data Types",0,"🌱 MODULE 0: JS/TS FOR AUTOMATION",true,true,true,true,true,true,1,3,7,0,1
"02-js-ts-functions","0.2: Functions & Scope",0,"🌱 MODULE 0: JS/TS FOR AUTOMATION",true,true,true,true,true,true,5,3,6,0,1
"03-js-ts-es6","0.3: Arrays & ES6",0,"🌱 MODULE 0: JS/TS FOR AUTOMATION",true,true,true,true,true,true,2,2,4,0,0
"04-js-ts-objects","0.4: Objects & Literals",0,"🌱 MODULE 0: JS/TS FOR AUTOMATION",true,true,true,true,true,true,5,2,2,0,2
"05-js-ts-async","0.5: Async/Await & Promises",0,"🌱 MODULE 0: JS/TS FOR AUTOMATION",true,true,true,true,true,true,5,2,4,0,2
"06-js-ts-dom","0.6: DOM & HTML Basics",0,"🌱 MODULE 0: JS/TS FOR AUTOMATION",true,true,true,true,true,true,5,2,2,0,1
"07-js-ts-lite","0.7: TypeScript Lite",0,"🌱 MODULE 0: JS/TS FOR AUTOMATION",true,true,true,true,true,true,5,2,2,0,2
"08-js-ts-control-flow","0.8: Control Flow & Error Handling",0,"🌱 MODULE 0: JS/TS FOR AUTOMATION",true,true,true,true,true,true,2,2,4,0,0
"09-js-ts-modules","0.9: ES Modules & Imports",0,"🌱 MODULE 0: JS/TS FOR AUTOMATION",true,true,true,true,true,true,2,2,4,0,0
"10-first-test","1.1: Your First Test",1,"🚀 MODULE 1: YOUR FIRST TEST",true,true,true,true,true,true,15,2,6,0,2
"11-navigating-clicking","1.2: Navigating & Clicking",1,"🚀 MODULE 1: YOUR FIRST TEST",true,true,true,true,true,true,2,2,10,0,1
"12-writing-assertions","1.3: Writing Assertions",1,"🚀 MODULE 1: YOUR FIRST TEST",true,true,true,true,true,true,5,1,4,0,1
"13-running-reading","1.4: Running & Reading Results",1,"🚀 MODULE 1: YOUR FIRST TEST",true,true,true,true,true,true,3,1,3,0,0
"14-break-it","1.5: Break It On Purpose",1,"🚀 MODULE 1: YOUR FIRST TEST",true,true,true,true,true,true,3,1,3,0,1
"15-getbyrole","2.1: getByRole & Friends",2,"🔍 MODULE 2: LOCATORS & ASSERTIONS",true,true,true,true,true,true,2,2,4,0,0
"16-assertions-deep","2.2: Assertions Deep Dive",2,"🔍 MODULE 2: LOCATORS & ASSERTIONS",true,true,true,true,true,true,2,1,2,0,1
